home,runs
Royal Challengers Bangalore,215.0
Royal Challengers Bangalore,204.0
Mumbai Indians,160.0
Bangladesh,135.0
South Africa,148.0
Namibia,141.0
Namibia,171.0
Namibia,108.0
Namibia,198.0
Namibia,228.0
Namibia,94.0
West Indies A,152.0
Pakistan,142.0
Matabeleland Tuskers,161.0
Matabeleland Tuskers,114.0
Mid West Rhinos,175.0
Mashonaland Eagles,147.0
Mashonaland Eagles,195.0
Mashonaland Eagles,207.0
Easterns,194.0
Western Province,141.0
Boland,175.0
Northerns,158.0
Eastern Province,85.0
Free State,174.0
Eastern Province,108.0
Griqualand West,152.0
KwaZulu-Natal,129.0
Western Province,135.0
Boland,150.0
Griqualand West,129.0
Gauteng,146.0
Eastern Province,103.0
KwaZulu-Natal Inland,150.0
North West,184.0
Northerns,119.0
South Western Districts,104.0
Easterns,141.0
KwaZulu-Natal,144.0
North West,163.0
Guyana,139.0
Jamaica,152.0
Barbados,76.0
Combined Campuses and Colleges,130.0
Barbados,157.0
Barbados,90.0
Jamaica,118.0
Barbados,81.0
Jamaica,99.0
Auckland,116.0
Otago,160.0
Auckland,156.0
Canterbury,198.0
